HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
Tottenham,Burnley,2,1,9,2
Everton,Liverpool,0,1,1,4
Arsenal,West Brom,1,0,11,1
Burnley,Middlesbrough,1,0,4,2
Chelsea,Bournemouth,3,0,4,3
Hull,Man City,0,3,3,6
Leicester,Everton,0,2,2,3
Man United,Sunderland,3,1,9,4
Swansea,West Ham,1,4,7,7
Watford,Crystal Palace,1,1,3,4
Liverpool,Stoke,4,1,6,2
Southampton,Tottenham,1,4,2,5
Hull,Everton,2,2,4,7
Burnley,Sunderland,4,1,6,3
Chelsea,Stoke,4,2,7,2
Leicester,West Ham,1,0,4,5
Liverpool,Man City,1,0,1,2
Man United,Middlesbrough,2,1,12,2
Southampton,West Brom,1,2,1,3
Swansea,Bournemouth,0,3,5,6
Arsenal,Crystal Palace,2,0,7,4
Watford,Tottenham,1,4,2,6
Everton,Southampton,3,0,6,3
Man City,Burnley,2,1,3,3
Middlesbrough,Leicester,0,0,1,4
Sunderland,Liverpool,2,2,5,15
West Brom,Hull,3,1,5,6
West Ham,Man United,0,2,2,6
Bournemouth,Arsenal,3,3,6,4
Crystal Palace,Swansea,1,2,3,4
Stoke,Watford,2,0,5,2
Tottenham,Chelsea,2,0,2,2
Burnley,Southampton,1,0,3,5
Hull,Bournemouth,3,1,3,6
Leicester,Chelsea,0,3,2,3
Sunderland,Stoke,1,3,3,6
Swansea,Arsenal,0,4,3,6
Tottenham,West Brom,4,0,11,0
Watford,Middlesbrough,0,0,5,1
West Ham,Crystal Palace,3,0,3,1
Everton,Man City,4,0,4,5
Man United,Liverpool,1,1,3,4
Bournemouth,Watford,2,2,5,3
Crystal Palace,Everton,0,1,2,8
Liverpool,Swansea,2,3,5,3
Man City,Tottenham,2,2,7,2
Middlesbrough,West Ham,1,3,2,5
Stoke,Man United,1,1,1,8
West Brom,Sunderland,2,0,5,3
Arsenal,Burnley,2,1,8,7
Chelsea,Hull,2,0,5,4
Southampton,Leicester,3,0,7,2
Arsenal,Watford,1,2,5,6
Bournemouth,Crystal Palace,0,2,2,4
Burnley,Leicester,1,0,3,5
Liverpool,Chelsea,1,1,3,2
Middlesbrough,West Brom,1,1,3,5
Sunderland,Tottenham,0,0,1,3
Swansea,Southampton,2,1,5,2
Man United,Hull,0,0,6,2
Stoke,Everton,1,1,7,5
West Ham,Man City,0,4,1,4
Chelsea,Arsenal,3,1,6,5
Crystal Palace,Sunderland,0,4,9,7
Everton,Bournemouth,6,3,10,8
Hull,Liverpool,2,0,4,5
Southampton,West Ham,1,3,7,4
Tottenham,Middlesbrough,1,0,5,0
Watford,Burnley,2,1,7,7
West Brom,Stoke,1,0,4,2
Leicester,Man United,0,3,1,9
Man City,Swansea,2,1,5,2
Arsenal,Hull,2,0,7,4
Liverpool,Tottenham,2,0,9,2
Man United,Watford,2,0,11,3
Middlesbrough,Everton,0,0,3,3
Stoke,Crystal Palace,1,0,4,1
Sunderland,Southampton,0,4,1,8
